source,date,text,url,rating,platform,app_name
appstore_mls_official_app,2025-05-18,"Rewrite Gone Wrong. This has to be one of the worst rewrites for an app of all time. Can’t see previous matches/results on your schedule, overlapping text on various screens, 49 clicks just to get to your favorite team, etc. My hope is you all at least got some money back from whatever intern you paid to design and code this mess. Never thought I would have to turn back to ESPN. Yikes!",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-05-16,Does not work. I tried to update the app but it refuses to download,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-05-14,"Can’t see scores. When you are on the “scores” page, you can not really see the score and have to click on each game",https://apps.apple.com/us/app/id397303467,4,ios,MLS Official App
appstore_mls_official_app,2025-05-10,Lag time is not acceptable. Cannot even look at the lineups for my game because it won’t load. Can we go back to words?,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-05-04,"Significant performance issues. The app struggles to load any valuable game content. Even today, lineups and game summary content won’t load for individual games.  MLS needs to prioritize fixing this - it’s been since the new app release (which looks very nice). Right now it’s fairly unusable for some types of fans",https://apps.apple.com/us/app/id397303467,3,ios,MLS Official App
appstore_mls_official_app,2025-05-04,Slow in loading basic content. painfully slow to load stats etc,https://apps.apple.com/us/app/id397303467,2,ios,MLS Official App
appstore_mls_official_app,2025-05-03,"Simply awful. What happened ?

Can’t see lineups any longer 

The app is broken. 

Please fix",https://apps.apple.com/us/app/id397303467,2,ios,MLS Official App
appstore_mls_official_app,2025-04-27,"Notifications. I like the MLS app. But they force you to watch games on Apple TV, but notifications come about 25 seconds before it happens when watching the games…. Suggestion- turn off notifications if you use this app",https://apps.apple.com/us/app/id397303467,3,ios,MLS Official App
appstore_mls_official_app,2025-04-27,Layout bugs. I don’t know what you did but standings don’t line up nor show all the teams no matter what I try. Upcoming games are under the wrong date. It’s a mess. Bring back last years,https://apps.apple.com/us/app/id397303467,2,ios,MLS Official App
appstore_mls_official_app,2025-04-27,"Can’t see teams match history. There is no way to view a teams match history for the current season. The only way is to scroll through all matches across the league to find your teams previous scores. 

Why can’t I just see the previous matches my team has played on the teams page?",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-26,"Not as good as it once was. lineups, and stats don’t ever load. Please fix or remove the option to see them",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-24,"Massively buggy since update. The app looks prettier since the update, but a huge number of features just don't work anymore - they infinitely lag when you click into them. I initially figured that these would be ironed out with time, but it's been months since the update. It's also annoying that the main page is now filled with an ad and an autoplay video that is impossible to turn off - it's just the definition of a negative user experience",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-21,"Fix the hide scores?!?!. Can you all please fix the “hide scores” setting? It defaults to “show scores” every other time I open the app. I change the setting back to “hide scores” and then a few days later…back to the default?!

I gave you my contact info (a disappointing pre-requisite to using the app)…you should know my settings by now",https://apps.apple.com/us/app/id397303467,3,ios,MLS Official App
appstore_mls_official_app,2025-04-13,No stats. App no longer shows game stats or lineups. Just constant loading screens,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-13,Major Flaw. The app deletes past matches from every club’s schedule. I want to be able to easily see how clubs performed in earlier matches. Please fix this,https://apps.apple.com/us/app/id397303467,2,ios,MLS Official App
appstore_mls_official_app,2025-04-08,Broken. App is broken. Crashes every time I try to open it. Have uninstalled and reinstalled to no avail,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-06,"Deleted. Bye!. *UPDATE* just delete the app. They’re just farming data and won’t let you look at scores without an account to track everything you do. I’ll just get scores another way. 

Replacing my old review where I complained about notifications not working to write a new review about how the notifications don’t work.

I get all kinds of notifications for games I don’t care about at all. Not a single notification about the game I actually did care about today.

This app is less than useless. Just use the website if possible. It’s much less frustrating",https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-05,Account required. Why do I need an account to check league standings? Why do I need to give MLS my personal information to check game stats? Don’t you guys want MLS to be accessible to a bigger audience? NHL and NFL don’t require those. Having a favorite team can absolutely be a local setting instead of account controlled. I’ll just use Apple’s Sports app instead,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-05,App keeps failing. App keeps failing and shutting down.  Difficult to set up again after reloading.  Needs serious updates,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-05,Now require an account. I stopped using this app once it required an account to be created.  Nice thing is I was able to switch to our team specific app.  It seems like a lot of people did the same as our team app all the sudden got really popular.  Kind of a shame about the MlS app though,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
appstore_mls_official_app,2025-04-05,"Box “shadows”. I’m a big fan of MLS and have used its app for years. When the new season started I opened the updated app and found all of these weird “shadows” on each item in the app. The shadows also affect the standings so much that each team’s logo is no longer lined up with their actual standings and stats. With each update that comes out I hope that there is a fix for this issue, but it appears that it has not been corrected yet",https://apps.apple.com/us/app/id397303467,3,ios,MLS Official App
appstore_mls_official_app,2025-04-05,Won’t work. I updated the app and it worked for a day or two. Now it won’t load or stay open. I e deleted it from my phone and from iCloud and redownloaded it multiple times and still won’t work. I reached out to support and never heard back,https://apps.apple.com/us/app/id397303467,1,ios,MLS Official App
